,Book,Chapter,Verse,Original Text,Formatted Text
10,CHAPTER II,1.0,4.0," Sanjaya. So spake Arjuna to the Lord of Hearts, And sighing,""I will not fight!"" held silence then. To whom, with tender smile, (O Bharata! ) While the Prince wept despairing 'twixt those hosts, Krishna made answer in divinest verse:", sanjaya  so spake arjuna to the lord of hearts  and sighing  i will not fight   held silence then  to whom  with tender smile   o bharata    while the prince wept despairing  twixt those hosts  krishna made answer in divinest verse 
11,CHAPTER II,1.0,5.0," Krishna. Thou grievest where no grief should be! thou speak'st Words lacking wisdom! for the wise in heart Mourn not for those that live, nor those that die. Nor I, nor thou, nor any one of these, Ever was not, nor ever will not be, For ever and for ever afterwards. All, that doth live, lives always! To man's frame As there come infancy and youth and age, So come there raisings-up and layings-down Of other and of other life-abodes, Which the wise know, and fear not. This that irks-- Thy sense-life, thrilling to the elements-- Bringing thee heat and cold, sorrows and joys, 'Tis brief and mutable! Bear with it, Prince! As the wise bear. The soul which is not moved, The soul that with a strong and constant calm Takes sorrow and takes joy indifferently, Lives in the life undying! That which is Can never cease to be; that which is not Will not exist. To see this truth of both Is theirs who part essence from accident, Substance from shadow. Indestructible, Learn thou! the Life is, spreading life through all; It cannot anywhere, by any means, Be anywise diminished, stayed, or changed. But for these fleeting frames which it informs With spirit deathless, endless, infinite, They perish. Let them perish, Prince! and fight! He who shall say, ""Lo! I have slain a man!"" He who shall think, ""Lo! I am slain!"" those both Know naught! Life cannot slay. Life is not slain! Never the spirit was born; the spirit shall cease to be never; Never was time it was not; End and Beginning are dreams! Birthless and deathless and changeless remaineth the spirit for ever; Death hath not touched it at all, dead though the house of it seems! Who knoweth it exhaustless, self-sustained, Immortal, indestructible,--shall such Say, ""I have killed a man, or caused to kill?"" Nay, but as when one layeth His worn-out robes away, And taking new ones, sayeth, ""These will I wear to-day!"" So putteth by the spirit Lightly its garb of flesh, And passeth to inherit A residence afresh. I say to thee weapons reach not the Life; Flame burns it not, waters cannot o'erwhelm, Nor dry winds wither it. Impenetrable, Unentered, unassailed, unharmed, untouched, Immortal, all-arriving, stable, sure, Invisible, ineffable, by word And thought uncompassed, ever all itself, Thus is the Soul declared! How wilt thou, then,-- Knowing it so,--grieve when thou shouldst not grieve? How, if thou hearest that the man new-dead Is, like the man new-born, still living man-- One same, existent Spirit--wilt thou weep? The end of birth is death; the end of death Is birth: this is ordained! and mournest thou, Chief of the stalwart arm! for what befalls Which could not otherwise befall? The birth Of living things comes unperceived; the death Comes unperceived; between them, beings perceive:", krishna  thou grievest where no grief should be  thou speak st words lacking wisdom  for the wise in heart mourn not for those that live  nor those that die  nor i  nor thou  nor any one of these  ever was not  nor ever will not be  for ever and for ever afterwards  all  that doth live  lives always  to man s frame as there come infancy and youth and age  so come there raisings up and layings down of other and of other life abodes  which the wise know  and fear not  this that irks   thy sense life  thrilling to the elements   bringing thee heat and cold  sorrows and joys   tis brief and mutable  bear with it  prince  as the wise bear  the soul which is not moved  the soul that with a strong and constant calm takes sorrow and takes joy indifferently  lives in the life undying  that which is can never cease to be  that which is not will not exist  to see this truth of both is theirs who part essence from accident  substance from shadow  indestructible  learn thou  the life is  spreading life through all  it cannot anywhere  by any means  be anywise diminished  stayed  or changed  but for these fleeting frames which it informs with spirit deathless  endless  infinite  they perish  let them perish  prince  and fight  he who shall say   lo  i have slain a man   he who shall think   lo  i am slain   those both know naught  life cannot slay  life is not slain  never the spirit was born  the spirit shall cease to be never  never was time it was not  end and beginning are dreams  birthless and deathless and changeless remaineth the spirit for ever  death hath not touched it at all  dead though the house of it seems  who knoweth it exhaustless  self sustained  immortal  indestructible   shall such say   i have killed a man  or caused to kill   nay  but as when one layeth his worn out robes away  and taking new ones  sayeth   these will i wear to day   so putteth by the spirit lightly its garb of flesh  and passeth to inherit a residence afresh  i say to thee weapons reach not the life  flame burns it not  waters cannot o erwhelm  nor dry winds wither it  impenetrable  unentered  unassailed  unharmed  untouched  immortal  all arriving  stable  sure  invisible  ineffable  by word and thought uncompassed  ever all itself  thus is the soul declared  how wilt thou  then    knowing it so   grieve when thou shouldst not grieve  how  if thou hearest that the man new dead is  like the man new born  still living man   one same  existent spirit  wilt thou weep  the end of birth is death  the end of death is birth  this is ordained  and mournest thou  chief of the stalwart arm  for what befalls which could not otherwise befall  the birth of living things comes unperceived  the death comes unperceived  between them  beings perceive 
12,CHAPTER II,1.0,6.0," What is there sorrowful herein, dear Prince? Wonderful, wistful, to contemplate! Difficult, doubtful, to speak upon! Strange and great for tongue to relate, Mystical hearing for every one! Nor wotteth man this, what a marvel it is, When seeing, and saying, and hearing are done! This Life within all living things, my Prince! Hides beyond harm; scorn thou to suffer, then, For that which cannot suffer. Do thy part! Be mindful of thy name, and tremble not! Nought better can betide a martial soul Than lawful war; happy the warrior To whom comes joy of battle--comes, as now, Glorious and fair, unsought; opening for him A gateway unto Heav'n. But, if thou shunn'st This honourable field--a Kshattriya-- If, knowing thy duty and thy task, thou bidd'st Duty and task go by--that shall be sin! And those to come shall speak thee infamy From age to age; but infamy is worse For men of noble blood to bear than death! The chiefs upon their battle-chariots Will deem 'twas fear that drove thee from the fray. Of those who held thee mighty-souled the scorn Thou must abide, while all thine enemies Will scatter bitter speech of thee, to mock The valour which thou hadst; what fate could fall More grievously than this? Either--being killed-- Thou wilt win Swarga's safety, or--alive And victor--thou wilt reign an earthly king.", what is there sorrowful herein  dear prince  wonderful  wistful  to contemplate  difficult  doubtful  to speak upon  strange and great for tongue to relate  mystical hearing for every one  nor wotteth man this  what a marvel it is  when seeing  and saying  and hearing are done  this life within all living things  my prince  hides beyond harm  scorn thou to suffer  then  for that which cannot suffer  do thy part  be mindful of thy name  and tremble not  nought better can betide a martial soul than lawful war  happy the warrior to whom comes joy of battle  comes  as now  glorious and fair  unsought  opening for him a gateway unto heav n  but  if thou shunn st this honourable field  a kshattriya   if  knowing thy duty and thy task  thou bidd st duty and task go by  that shall be sin  and those to come shall speak thee infamy from age to age  but infamy is worse for men of noble blood to bear than death  the chiefs upon their battle chariots will deem  twas fear that drove thee from the fray  of those who held thee mighty souled the scorn thou must abide  while all thine enemies will scatter bitter speech of thee  to mock the valour which thou hadst  what fate could fall more grievously than this  either  being killed   thou wilt win swarga s safety  or  alive and victor  thou wilt reign an earthly king 
13,CHAPTER II,1.0,7.0," Therefore, arise, thou Son of Kunti! brace Thine arm for conflict, nerve thy heart to meet-- As things alike to thee--pleasure or pain, Profit or ruin, victory or defeat: So minded, gird thee to the fight, for so Thou shalt not sin! Thus far I speak to thee As from the ""Sankhya""--unspiritually-- Hear now the deeper teaching of the Yog, Which holding, understanding, thou shalt burst Thy Karmabandh, the bondage of wrought deeds. Here shall no end be hindered, no hope marred, No loss be feared: faith--yea, a little faith-- Shall save thee from the anguish of thy dread. Here, Glory of the Kurus! shines one rule-- One steadfast rule--while shifting souls have laws Many and hard. ", therefore  arise  thou son of kunti  brace thine arm for conflict  nerve thy heart to meet   as things alike to thee  pleasure or pain  profit or ruin  victory or defeat  so minded  gird thee to the fight  for so thou shalt not sin  thus far i speak to thee as from the  sankhya   unspiritually   hear now the deeper teaching of the yog  which holding  understanding  thou shalt burst thy karmabandh  the bondage of wrought deeds  here shall no end be hindered  no hope marred  no loss be feared  faith  yea  a little faith   shall save thee from the anguish of thy dread  here  glory of the kurus  shines one rule   one steadfast rule  while shifting souls have laws many and hard  
14,CHAPTER II,1.0,8.0," Specious, but wrongful deem The speech of those ill-taught ones who extol The letter of their Vedas, saying, ""This Is all we have, or need;"" being weak at heart With wants, seekers of Heaven: which comes--they say-- As ""fruit of good deeds done;"" promising men Much profit in new births for works of faith; In various rites abounding; following whereon Large merit shall accrue towards wealth and power; Albeit, who wealth and power do most desire Least fixity of soul have such, least hold On heavenly meditation. Much these teach, From Veds, concerning the ""three qualities;"" But thou, be free of the ""three qualities,"" Free of the ""pairs of opposites,"" and free From that sad righteousness which calculates; Self-ruled, Arjuna! simple, satisfied! Look! like as when a tank pours water forth To suit all needs, so do these Brahmans draw Text for all wants from tank of Holy Writ.", specious  but wrongful deem the speech of those ill taught ones who extol the letter of their vedas  saying   this is all we have  or need   being weak at heart with wants  seekers of heaven  which comes  they say   as  fruit of good deeds done   promising men much profit in new births for works of faith  in various rites abounding  following whereon large merit shall accrue towards wealth and power  albeit  who wealth and power do most desire least fixity of soul have such  least hold on heavenly meditation  much these teach  from veds  concerning the  three qualities   but thou  be free of the  three qualities   free of the  pairs of opposites   and free from that sad righteousness which calculates  self ruled  arjuna  simple  satisfied  look  like as when a tank pours water forth to suit all needs  so do these brahmans draw text for all wants from tank of holy writ 
15,CHAPTER II,1.0,9.0," But thou, want not! ask not! Find full reward Of doing right in right! Let right deeds be Thy motive, not the fruit which comes from them. And live in action! Labour! Make thine acts Thy piety, casting all self aside, Contemning gain and merit; equable In good or evil: equability Is Yog, is piety! Yet, the right act Is less, far less, than the right-thinking mind. Seek refuge in thy soul; have there thy heaven!", but thou  want not  ask not  find full reward of doing right in right  let right deeds be thy motive  not the fruit which comes from them  and live in action  labour  make thine acts thy piety  casting all self aside  contemning gain and merit  equable in good or evil  equability is yog  is piety  yet  the right act is less  far less  than the right thinking mind  seek refuge in thy soul  have there thy heaven 
16,CHAPTER II,1.0,10.0," Scorn them that follow virtue for her gifts! The mind of pure devotion--even here-- Casts equally aside good deeds and bad, Passing above them. Unto pure devotion Devote thyself: with perfect meditation Comes perfect act, and the right-hearted rise-- More certainly because they seek no gain-- Forth from the bands of body, step by step, To highest seats of bliss. When thy firm soul Hath shaken off those tangled oracles Which ignorantly guide, then shall it soar To high neglect of what's denied or said, This way or that way, in doctrinal writ. Troubled no longer by the priestly lore, Safe shall it live, and sure; steadfastly bent On meditation. This is Yog--and Peace!", scorn them that follow virtue for her gifts  the mind of pure devotion  even here   casts equally aside good deeds and bad  passing above them  unto pure devotion devote thyself  with perfect meditation comes perfect act  and the right hearted rise   more certainly because they seek no gain   forth from the bands of body  step by step  to highest seats of bliss  when thy firm soul hath shaken off those tangled oracles which ignorantly guide  then shall it soar to high neglect of what s denied or said  this way or that way  in doctrinal writ  troubled no longer by the priestly lore  safe shall it live  and sure  steadfastly bent on meditation  this is yog  and peace 
17,CHAPTER II,1.0,11.0," Arjuna. What is his mark who hath that steadfast heart, Confirmed in holy meditation? How Know we his speech, Kesava? Sits he, moves he Like other men?", arjuna  what is his mark who hath that steadfast heart  confirmed in holy meditation  how know we his speech  kesava  sits he  moves he like other men 
18,CHAPTER II,1.0,12.0," Krishna. When one, O Pritha's Son! Abandoning desires which shake the mind-- Finds in his soul full comfort for his soul, He hath attained the Yog--that man is such! In sorrows not dejected, and in joys Not overjoyed; dwelling outside the stress Of passion, fear, and anger; fixed in calms Of lofty contemplation;--such an one Is Muni, is the Sage, the true Recluse! He who to none and nowhere overbound By ties of flesh, takes evil things and good Neither desponding nor exulting, such Bears wisdom's plainest mark! He who shall draw As the wise tortoise draws its four feet safe Under its shield, his five frail senses back Under the spirit's buckler from the world Which else assails them, such an one, my Prince!", krishna  when one  o pritha s son  abandoning desires which shake the mind   finds in his soul full comfort for his soul  he hath attained the yog  that man is such  in sorrows not dejected  and in joys not overjoyed  dwelling outside the stress of passion  fear  and anger  fixed in calms of lofty contemplation   such an one is muni  is the sage  the true recluse  he who to none and nowhere overbound by ties of flesh  takes evil things and good neither desponding nor exulting  such bears wisdom s plainest mark  he who shall draw as the wise tortoise draws its four feet safe under its shield  his five frail senses back under the spirit s buckler from the world which else assails them  such an one  my prince 
19,CHAPTER II,1.0,13.0," Hath wisdom's mark! Things that solicit sense Hold off from the self-governed; nay, it comes, The appetites of him who lives beyond Depart,--aroused no more. Yet may it chance, O Son of Kunti! that a governed mind Shall some time feel the sense-storms sweep, and wrest Strong self-control by the roots. Let him regain His kingdom! let him conquer this, and sit On Me intent. That man alone is wise Who keeps the mastery of himself! If one Ponders on objects of the sense, there springs Attraction; from attraction grows desire, Desire flames to fierce passion, passion breeds Recklessness; then the memory--all betrayed-- Lets noble purpose go, and saps the mind, Till purpose, mind, and man are all undone. ", hath wisdom s mark  things that solicit sense hold off from the self governed  nay  it comes  the appetites of him who lives beyond depart   aroused no more  yet may it chance  o son of kunti  that a governed mind shall some time feel the sense storms sweep  and wrest strong self control by the roots  let him regain his kingdom  let him conquer this  and sit on me intent  that man alone is wise who keeps the mastery of himself  if one ponders on objects of the sense  there springs attraction  from attraction grows desire  desire flames to fierce passion  passion breeds recklessness  then the memory  all betrayed   lets noble purpose go  and saps the mind  till purpose  mind  and man are all undone  
20,CHAPTER II,1.0,14.0," But, if one deals with objects of the sense Not loving and not hating, making them Serve his free soul, which rests serenely lord, Lo! such a man comes to tranquillity; And out of that tranquillity shall rise The end and healing of his earthly pains, Since the will governed sets the soul at peace. The soul of the ungoverned is not his, Nor hath he knowledge of himself; which lacked, How grows serenity? and, wanting that, Whence shall he hope for happiness? The mind That gives itself to follow shows of sense Seeth its helm of wisdom rent away, And, like a ship in waves of whirlwind, drives To wreck and death. Only with him, great Prince!", but  if one deals with objects of the sense not loving and not hating  making them serve his free soul  which rests serenely lord  lo  such a man comes to tranquillity  and out of that tranquillity shall rise the end and healing of his earthly pains  since the will governed sets the soul at peace  the soul of the ungoverned is not his  nor hath he knowledge of himself  which lacked  how grows serenity  and  wanting that  whence shall he hope for happiness  the mind that gives itself to follow shows of sense seeth its helm of wisdom rent away  and  like a ship in waves of whirlwind  drives to wreck and death  only with him  great prince 
21,CHAPTER II,1.0,15.0," Whose senses are not swayed by things of sense-- Only with him who holds his mastery, Shows wisdom perfect. What is midnight-gloom To unenlightened souls shines wakeful day To his clear gaze; what seems as wakeful day Is known for night, thick night of ignorance, To his true-seeing eyes. Such is the Saint! And like the ocean, day by day receiving Floods from all lands, which never overflows Its boundary-line not leaping, and not leaving, Fed by the rivers, but unswelled by those;-- So is the perfect one! to his soul's ocean The world of sense pours streams of witchery; They leave him as they find, without commotion, Taking their tribute, but remaining sea.", whose senses are not swayed by things of sense   only with him who holds his mastery  shows wisdom perfect  what is midnight gloom to unenlightened souls shines wakeful day to his clear gaze  what seems as wakeful day is known for night  thick night of ignorance  to his true seeing eyes  such is the saint  and like the ocean  day by day receiving floods from all lands  which never overflows its boundary line not leaping  and not leaving  fed by the rivers  but unswelled by those    so is the perfect one  to his soul s ocean the world of sense pours streams of witchery  they leave him as they find  without commotion  taking their tribute  but remaining sea 
22,CHAPTER II,1.0,16.0," Yea! whoso, shaking off the yoke of flesh Lives lord, not servant, of his lusts; set free From pride, from passion, from the sin of ""Self,"" Toucheth tranquillity! O Pritha's Son! That is the state of Brahm! There rests no dread When that last step is reached! Live where he will, Die when he may, such passeth from all 'plaining, To blest Nirvana, with the Gods, attaining.", yea  whoso  shaking off the yoke of flesh lives lord  not servant  of his lusts  set free from pride  from passion  from the sin of  self   toucheth tranquillity  o pritha s son  that is the state of brahm  there rests no dread when that last step is reached  live where he will  die when he may  such passeth from all  plaining  to blest nirvana  with the gods  attaining 
23,CHAPTER III,1.0,1.0," Arjuna. Thou whom all mortals praise, Janardana! If meditation be a nobler thing Than action, wherefore, then, great Kesava! Dost thou impel me to this dreadful fight? Now am I by thy doubtful speech disturbed! Tell me one thing, and tell me certainly; By what road shall I find the better end?", arjuna  thou whom all mortals praise  janardana  if meditation be a nobler thing than action  wherefore  then  great kesava  dost thou impel me to this dreadful fight  now am i by thy doubtful speech disturbed  tell me one thing  and tell me certainly  by what road shall i find the better end 
24,CHAPTER III,1.0,2.0," Krishna. I told thee, blameless Lord! there be two paths Shown to this world; two schools of wisdom. First The Sankhya's, which doth save in way of works Prescribed by reason; next, the Yog, which bids Attain by meditation, spiritually:", krishna  i told thee  blameless lord  there be two paths shown to this world  two schools of wisdom  first the sankhya s  which doth save in way of works prescribed by reason  next  the yog  which bids attain by meditation  spiritually 
